R_Priority,Weights,Data weightage %,Severity of defects,Complexity,Time,Cost,Number of defects linked,Test_Case,Sprint,Execution Status
S,2,35,3,1,4,28,5,T-mis-001,Sprint 1,F
S,2,35,3,1,4,28,5,T-mis-001, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-001, Sprint 3,P
S,2,35,3,1,4,28,5,T-mis-002,Sprint 1,F
S,2,35,3,1,4,28,5,T-mis-002, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-002, Sprint 3,P
S,2,35,3,1,4,28,5,T-mis-003,Sprint 1,F
S,2,35,3,1,4,28,5,T-mis-003, Sprint 2,P
S,2,35,3,1,4,28,5,T-mis-003, Sprint 3,P
S,2,35,2,3,4,84,15,T-mis-004,Sprint 1,F
S,2,35,2,3,4,84,15,T-mis-004, Sprint 2,F
S,2,35,2,3,4,84,15,T-mis-004, Sprint 3,P
S,2,35,3,1,4.5,31.5,5,T-mis-005,Sprint 1,F
S,2,35,3,1,4.5,31.5,5,T-mis-005, Sprint 2,P
S,2,35,3,1,4.5,31.5,5,T-mis-005, Sprint 3,P
S,2,35,3,1,4.5,31.5,5,T-mis-006,Sprint 1,F
S,2,35,3,1,4.5,31.5,5,T-mis-006, Sprint 2,P
S,2,35,3,1,4.5,31.5,5,T-mis-006, Sprint 3,P
S,2,35,3,1,4.5,31.5,5,T-mis-007,Sprint 1,F
S,2,35,3,1,4.5,31.5,5,T-mis-007, Sprint 2,P
S,2,35,3,1,4.5,31.5,5,T-mis-007, Sprint 3,P
S,2,35,3,1,4.5,31.5,5,T-mis-008,Sprint 1,F
S,2,35,3,1,4.5,31.5,5,T-mis-008, Sprint 2,P
S,2,35,3,1,4.5,31.5,5,T-mis-008, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-009,Sprint 1,F
S,2,35,3,5,2.5,87.5,25,T-mis-009, Sprint 2,P
S,2,35,3,5,2.5,87.5,25,T-mis-009, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-010,Sprint 1,F
S,2,35,3,5,2.5,87.5,25,T-mis-010, Sprint 2,P
S,2,35,3,5,2.5,87.5,25,T-mis-010, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-011,Sprint 1,F
S,2,35,3,5,2.5,87.5,25,T-mis-011, Sprint 2,P
S,2,35,3,5,2.5,87.5,25,T-mis-011, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-012,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-012, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-012, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-013,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-013, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-013, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-014,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-014, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-014, Sprint 3,F
S,2,35,2,3,1.5,31.5,15,T-mis-015,Sprint 1,F
S,2,35,2,3,1.5,31.5,15,T-mis-015, Sprint 2,P
S,2,35,2,3,1.5,31.5,15,T-mis-015, Sprint 3,F
S,2,35,2,3,1,21,15,T-mis-016,Sprint 1,P
S,2,35,2,3,1,21,15,T-mis-016, Sprint 2,F
